rank,CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
1,05726-140,Vila Andrade,19572.23,109.0,612.0,2133372.61
2,04709-901,Santo Amaro,25861.42,79.0,505.0,2043052.2
3,04662-902,Santo Amaro,28198.32,67.5,633.5,1903386.61
4,04747-140,Santo Amaro,38211.82,48.0,367.0,1834167.54
5,05717-250,Vila Andrade,24980.56,70.0,436.0,1748639.16
6,04710-090,Santo Amaro,20561.47,84.5,531.0,1737443.87
7,05724-005,Vila Andrade,17073.24,98.5,619.5,1681714.6
8,04710-160,Santo Amaro,29834.82,56.0,302.0,1670749.73
9,04738-010,Santo Amaro,21846.65,68.0,544.0,1485572.32
10,04724-003,Santo Amaro,23662.02,62.0,422.0,1467045.43
11,04740-900,Santo Amaro,30037.05,46.0,400.0,1381704.09
12,04708-010,Santo Amaro,17478.78,77.0,678.0,1345865.81
13,05727-230,Vila Andrade,18435.43,71.0,519.0,1308915.84
14,04742-000,Santo Amaro,13013.71,88.0,586.0,1145206.34
15,05717-180,Vila Andrade,36600.09,31.0,285.0,1134602.8
16,05726-130,Vila Andrade,11951.8,92.0,600.0,1099565.73
17,05716-120,Vila Andrade,37394.75,29.0,321.0,1084447.85
18,04754-010,Santo Amaro,13463.1,80.5,535.0,1083779.68
19,05727-160,Vila Andrade,17974.13,58.0,381.0,1042499.72
20,04748-050,Santo Amaro,18077.63,54.0,627.0,976192.16
21,04710-130,Santo Amaro,18047.71,53.0,433.0,956528.45
22,05726-100,Vila Andrade,15216.25,62.0,531.0,943407.33
23,04603-002,Santo Amaro,23306.7,40.0,359.0,932267.95
24,05727-250,Vila Andrade,18365.67,49.0,498.0,899917.66
25,05715-040,Vila Andrade,20764.61,42.5,429.5,882496.06
26,04734-000,Santo Amaro,14709.56,58.0,501.0,853154.49
27,04747-110,Santo Amaro,24233.84,35.0,281.5,848184.41
28,05728-040,Vila Andrade,16395.07,49.5,382.0,811556.21
29,04662-002,Santo Amaro,24691.75,32.0,307.0,790136.05
30,05716-090,Vila Andrade,21763.97,36.0,579.0,783502.75
31,04738-000,Santo Amaro,15960.32,49.0,419.0,782055.46
32,04750-001,Santo Amaro,13677.62,57.0,404.0,779624.32
33,05727-180,Vila Andrade,15878.33,49.0,383.0,778038.06
34,04708-001,Santo Amaro,38180.27,20.0,286.0,763605.38
